id,gender,age,lengthofservice,entrymethod,2019 status,eNPS,vision,stability,missioncohe,customer,workload,evaluation,salary,growth,boss,colleagues,pa,home.store,jobmeaning,wellfare,clean,culture,influence,reputation,workingtime,promotesalary,autonomy,training,facilities,uniform
1100118,2,36,8,Old,Stay,7,5,5,5,3,3,5,4,5,6,5,4,4,5,4,3,3,3,5,3,3,3,4,2,4
1100119,2,32,8,Old,Stay,5,6,6,6,5,3,5,3,5,6,5,5,5,6,5,4,5,5,5,3,4,4,5,4,5
1100120,2,37,8,Old,Stay,4,4,4,5,4,5,3,3,5,3,3,3,4,5,3,4,5,5,6,5,3,4,4,4,4
1100122,2,32,8,Old,Stay,1,4,4,4,4,1,3,2,4,3,4,5,4,4,3,4,4,4,4,2,4,4,4,3,4
1100125,1,37,8,Old,Stay,6,4,5,4,4,3,4,3,5,5,6,5,3,6,5,4,4,5,6,3,2,4,4,4,4
1100126,1,47,8,Old,Stay,1,4,4,4,4,1,2,1,3,2,4,4,4,3,4,4,4,4,4,2,2,4,4,4,4
1100129,1,32,8,Old,Stay,0,2,1,4,4,2,4,2,1,2,3,4,4,1,1,4,1,1,4,2,1,2,4,1,4
1100130,1,32,8,Old,Stay,6,4,5,4,4,3,4,3,5,5,4,4,4,5,5,4,4,4,5,3,4,4,4,4,4
1100134,1,38,8,Old,Stay,3,5,3,1,5,1,5,4,4,4,4,3,5,5,5,1,2,4,5,1,5,3,3,2,3
1100135,2,35,7,Old,Stay,2,4,4,4,4,3,3,1,3,2,4,4,2,4,3,1,3,4,4,3,3,3,3,4,4
1100137,1,37,7,Old,Stay,1,4,2,2,4,1,3,1,1,4,4,5,2,3,1,2,1,4,4,1,1,5,4,1,3
1100138,2,32,7,Old,Stay,2,6,1,2,3,3,2,1,1,1,2,2,4,2,4,2,2,2,5,2,1,1,2,2,4
1100140,2,34,7,Old,Stay,6,5,5,5,5,2,4,3,6,6,4,4,4,5,4,4,4,4,6,2,4,4,4,4,4
